,Type,Latitude,Longitude,Message,Size,Time,Detail
106,Roadwork,1.3559286922315574,103.96318163628979,(20/3)9:30 Roadworks on TPE (towards SLE) before PIE Entrance. Avoid lane 4.,1,9:30, Roadworks on TPE (towards SLE) before PIE Entrance. Avoid lane 4.
107,Roadwork,1.3140479661132527,103.87761922857514,(20/3)9:30 Roadworks on Sims Avenue (toward Changi) after KPE. Avoid left lane.,1,9:30, Roadworks on Sims Avenue (toward Changi) after KPE. Avoid left lane.
108,Roadwork,1.2928752364210807,103.78697257079725,(20/3)9:29 Roadworks on AYE (towards Tuas) at South Buona Vista Rd Exit.,1,9:29, Roadworks on AYE (towards Tuas) at South Buona Vista Rd Exit.
109,Roadwork,1.3066473575415989,103.91450258526082,(20/3)9:29 Roadworks on Marine Parade Road (towards Marine Terrace) after Telok Kurau Road. Avoid left lane.,1,9:29, Roadworks on Marine Parade Road (towards Marine Terrace) after Telok Kurau Road. Avoid left lane.
110,Roadwork,1.3400011503939462,103.77915388643166,(20/3)9:25 Roadworks on Jalan Anak Bukit (towards Hindhede Road) after Clementi Road. Avoid right lane.,1,9:25, Roadworks on Jalan Anak Bukit (towards Hindhede Road) after Clementi Road. Avoid right lane.
111,Roadwork,1.3451145219538525,103.95110144448114,(20/3)9:20 Roadworks on PIE (towards Changi Airport) after Tampines Ave 5. Avoid lane 1.,1,9:20, Roadworks on PIE (towards Changi Airport) after Tampines Ave 5. Avoid lane 1.
112,Roadwork,1.378055975070358,103.75752689696544,(20/3)9:17 Roadworks on Choa Chu Kang Road (towards Galistan Avenue) after Phoenix Road. Avoid left lane.,1,9:17, Roadworks on Choa Chu Kang Road (towards Galistan Avenue) after Phoenix Road. Avoid left lane.
113,Roadwork,1.3194463473099538,103.90610323435787,(20/3)9:15 Roadworks on Sims Avenue East (toward Changi) after Jalan Eunos.,1,9:15, Roadworks on Sims Avenue East (toward Changi) after Jalan Eunos.
114,Roadwork,1.3980288635217037,103.75496289030892,(20/3)9:10 Roadworks on Woodlands Road (towards City) after Sungei Kadut Ave.,1,9:10, Roadworks on Woodlands Road (towards City) after Sungei Kadut Ave.
115,Roadwork,1.3491360283063238,103.8733261818572,(20/3)9:08 Roadworks on Upper Serangoon Road (towards City) after Serangoon Central.,1,9:08, Roadworks on Upper Serangoon Road (towards City) after Serangoon Central.
116,Roadwork,1.3566911588569788,103.76811392756932,(20/3)9:01 Roadworks on Upper Bukit Timah Road (towards City) after Hillview Road. Avoid left lane.,1,9:01, Roadworks on Upper Bukit Timah Road (towards City) after Hillview Road. Avoid left lane.
117,Roadwork,1.3196619647337575,103.91455572306666,(20/3)8:55 Roadworks on Changi Road (toward City) after Siglap Road.,1,8:55, Roadworks on Changi Road (toward City) after Siglap Road.
118,Roadwork,1.3013034733933082,103.84996853677102,(20/3)8:46 Roadworks on Selegie Road (towards Middle Road) after Prinsep Street.,1,8:46, Roadworks on Selegie Road (towards Middle Road) after Prinsep Street.
119,Roadwork,1.3180886103110405,103.83274728010494,(20/3)8:39 Roadworks on Bukit Timah Road (towards Woodlands) after Balmoral Road. Avoid right lane.,1,8:39, Roadworks on Bukit Timah Road (towards Woodlands) after Balmoral Road. Avoid right lane.
120,Roadwork,1.314243573257145,103.8457746396213,(20/3)5:03 Roadworks on Norfolk Road (towards Keng Lee Road) after Thomson Road. Avoid right lane.,1,5:03, Roadworks on Norfolk Road (towards Keng Lee Road) after Thomson Road. Avoid right lane.
121,Roadwork,1.289178609172704,103.83503245677912,(20/3)5:02 Roadworks on Outram Road towards Havelock Road. Avoid left lane.,1,5:02, Roadworks on Outram Road towards Havelock Road. Avoid left lane.
