CarParkID,Area,Development,Location,AvailableLots,LotType,Agency,Day,Hour,Charge
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Wednesday,12:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Wednesday,1:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Wednesday,2:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Wednesday,3:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Wednesday,4:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Wednesday,5:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Wednesday,6:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Wednesday,7:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Wednesday,8:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Wednesday,9:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Wednesday,10:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Wednesday,11:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,12:00 am,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,1:00 am,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,2:00 am,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,3:00 am,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,4:00 am,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,5:00 am,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,6:00 am,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,7:00 am,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,8:00 am,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,9:00 am,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,10:00 am,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,11:00 am,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,12:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,1:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,2:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,3:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,4:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,5:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,6:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,7:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,8:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,9:00 pm,3.00
1,Marina,Suntec City,1.29375 103.85718,654,C,LTA,Thursday,10:00 pm,3.00
